Vocabulary Size:  27710
Total number of model parameters: 77.62M
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch 36.23 | loss  5.02 | ppl   151.86
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch 36.25 | loss  5.03 | ppl   153.01
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch 36.24 | loss  5.00 | ppl   148.28
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch 36.25 | loss  4.99 | ppl   147.55
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch 36.23 | loss  4.96 | ppl   141.94
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.98 | ppl   145.56
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch 36.23 | loss  5.00 | ppl   148.64
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch 36.23 | loss  5.02 | ppl   151.59
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch 36.24 | loss  4.97 | ppl   143.32
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch 36.25 | loss  4.96 | ppl   142.33
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch 36.25 | loss  4.96 | ppl   143.14
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 582.21s | valid loss  5.01 | valid ppl   150.35
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch 36.33 | loss  5.00 | ppl   148.75
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch 36.24 | loss  5.00 | ppl   148.80
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch 36.26 | loss  5.02 | ppl   151.69
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch 36.25 | loss  4.96 | ppl   142.51
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch 36.27 | loss  4.94 | ppl   139.97
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.99 | ppl   146.21
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch 36.25 | loss  5.00 | ppl   147.72
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch 36.27 | loss  4.99 | ppl   146.97
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch 36.28 | loss  5.00 | ppl   148.34
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch 36.25 | loss  5.00 | ppl   148.56
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch 36.26 | loss  5.00 | ppl   147.68
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch 36.27 | loss  5.01 | ppl   149.33
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.97 | ppl   143.76
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.98 | ppl   146.05
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch 36.27 | loss  4.95 | ppl   141.57
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch 36.27 | loss  5.02 | ppl   151.12
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch 36.24 | loss  4.97 | ppl   143.54
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch 36.25 | loss  4.94 | ppl   139.29
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch 36.24 | loss  4.95 | ppl   140.65
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch 36.28 | loss  4.93 | ppl   138.38
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.98 | ppl   144.88
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.98 | ppl   145.51
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.95 | ppl   141.88
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch 36.27 | loss  4.95 | ppl   141.03
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch 36.27 | loss  4.91 | ppl   135.53
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.94 | ppl   139.34
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch 36.26 | loss  4.96 | ppl   142.21
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch 36.31 | loss  4.97 | ppl   144.41
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch 36.28 | loss  4.92 | ppl   137.44
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch 36.32 | loss  4.92 | ppl   136.67
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch 36.31 | loss  4.92 | ppl   136.78
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 582.92s | valid loss  4.98 | valid ppl   145.31
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 20.00 | ms/batch 36.35 | loss  4.96 | ppl   142.32
| epoch   5 |  1000/15983 batches | lr 20.00 | ms/batch 36.28 | loss  4.96 | ppl   142.77
| epoch   5 |  1500/15983 batches | lr 20.00 | ms/batch 36.25 | loss  4.97 | ppl   144.63
| epoch   5 |  2000/15983 batches | lr 20.00 | ms/batch 36.27 | loss  4.92 | ppl   136.41
| epoch   5 |  2500/15983 batches | lr 20.00 | ms/batch 36.28 | loss  4.91 | ppl   135.19
