Vocabulary Size:  27710
Total number of model parameters: 50.60M
| epoch   5 |  3000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.82 | ppl  2478.90
| epoch   5 |  3500/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.81 | ppl  2470.77
| epoch   5 |  4000/15983 batches | lr 1.25 | ms/batch 24.11 | loss  7.82 | ppl  2498.40
| epoch   5 |  4500/15983 batches | lr 1.25 | ms/batch 24.07 | loss  7.87 | ppl  2610.69
| epoch   5 |  5000/15983 batches | lr 1.25 | ms/batch 24.05 | loss  7.89 | ppl  2670.55
| epoch   5 |  5500/15983 batches | lr 1.25 | ms/batch 24.04 | loss  7.85 | ppl  2574.51
| epoch   5 |  6000/15983 batches | lr 1.25 | ms/batch 24.06 | loss  7.88 | ppl  2631.44
| epoch   5 |  6500/15983 batches | lr 1.25 | ms/batch 24.03 | loss  7.78 | ppl  2385.95
| epoch   5 |  7000/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.85 | ppl  2557.53
| epoch   5 |  7500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.81 | ppl  2470.17
| epoch   5 |  8000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.87 | ppl  2622.92
| epoch   5 |  8500/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.82 | ppl  2485.96
| epoch   5 |  9000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.73 | ppl  2265.76
| epoch   5 |  9500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.76 | ppl  2343.30
| epoch   5 | 10000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.78 | ppl  2381.66
| epoch   5 | 10500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.79 | ppl  2419.60
| epoch   5 | 11000/15983 batches | lr 1.25 | ms/batch 24.06 | loss  7.78 | ppl  2392.45
| epoch   5 | 11500/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.77 | ppl  2359.84
| epoch   5 | 12000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.72 | ppl  2261.25
| epoch   5 | 12500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.70 | ppl  2208.14
| epoch   5 | 13000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.74 | ppl  2305.87
| epoch   5 | 13500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.78 | ppl  2384.96
| epoch   5 | 14000/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.79 | ppl  2419.31
| epoch   5 | 14500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.70 | ppl  2205.24
| epoch   5 | 15000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.64 | ppl  2078.10
| epoch   5 | 15500/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.69 | ppl  2185.95
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 386.97s | valid loss  6.89 | valid ppl   985.59
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 1.25 | ms/batch 24.12 | loss  7.79 | ppl  2427.84
| epoch   6 |  1000/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.81 | ppl  2469.91
| epoch   6 |  1500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.84 | ppl  2544.01
| epoch   6 |  2000/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.75 | ppl  2329.41
| epoch   6 |  2500/15983 batches | lr 1.25 | ms/batch 24.07 | loss  7.69 | ppl  2182.08
| epoch   6 |  3000/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.76 | ppl  2350.25
| epoch   6 |  3500/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.78 | ppl  2396.44
| epoch   6 |  4000/15983 batches | lr 1.25 | ms/batch 24.10 | loss  7.77 | ppl  2377.21
| epoch   6 |  4500/15983 batches | lr 1.25 | ms/batch 24.13 | loss  7.83 | ppl  2518.32
| epoch   6 |  5000/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.93 | ppl  2770.49
| epoch   6 |  5500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.80 | ppl  2449.42
| epoch   6 |  6000/15983 batches | lr 1.25 | ms/batch 24.11 | loss  7.81 | ppl  2460.24
| epoch   6 |  6500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.76 | ppl  2345.49
| epoch   6 |  7000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.78 | ppl  2396.79
| epoch   6 |  7500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.76 | ppl  2353.06
| epoch   6 |  8000/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.84 | ppl  2528.58
| epoch   6 |  8500/15983 batches | lr 1.25 | ms/batch 24.07 | loss  7.77 | ppl  2368.45
| epoch   6 |  9000/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.69 | ppl  2181.97
| epoch   6 |  9500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.73 | ppl  2266.71
| epoch   6 | 10000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.76 | ppl  2335.74
| epoch   6 | 10500/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.77 | ppl  2379.53
| epoch   6 | 11000/15983 batches | lr 1.25 | ms/batch 24.09 | loss  7.76 | ppl  2337.63
| epoch   6 | 11500/15983 batches | lr 1.25 | ms/batch 24.08 | loss  7.73 | ppl  2286.10
| epoch   6 | 12000/15983 batches | lr 1.25 | ms/batch 24.03 | loss  7.74 | ppl  2288.54
